,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
136,Rachel,qm12,blue,3,1629,true,5H,0.0,1.0,Engage,Engage,,1H|2M|3H|5M,0.0,,Engage,Engage,2,,0.0,0.0,0.0,0.0,0.0,
137,Nikhil,qm12,blue,1,3161,true,8M|9M|9M,0.0,1.0,None,,,,0.0,,Engage,Engage,,,0.0,0.0,80.0,2.0,0.0,
138,Shashwat ,qm12,blue,2,3478,false,5H,0.0,1.0,None,None,,2Lcone|2H|3Lcone|6H|7Lcone|7H,0.0,,None,None,,,0.0,0.0,0.0,0.0,0.0,
139,Sydney,qm12,red,1,5990,true,9H,0.0,1.0,None,None,,3H|2H|1Lcube|1M|1H,0.0,,Engage,Engage,7,,0.0,1.0,0.0,0.0,0.0,
140,alexander,qm12,red,3,7285,true,2M,0.0,1.0,None,None,,9Lcone|9M|7M|7H|6M|6H|4M|3M,0.0,,Engage,Engage,,Triple engage,0.0,0.0,0.0,0.0,5.0,Very fast cycles| were able to circumvent blockages from opponents
141,Blen ,qm12,red,2,8592,true,4H,0.0,1.0,None,Dock,crossed charge station ,8Lcube|8M|8H|6Lcube|5M|5H,2.0,,Engage,Engage,11,,0.0,0.0,0.0,0.0,4.0,
142,paul,qm120,blue,3,2992,false,8H|9H,0.0,1.0,None,,,1Lcone|1H|2Lcone|2H|3M|3H,1.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,3.0,
143,Sanjay,qm120,blue,1,3940,true,2M,0.0,1.0,Engage,Engage,,3H|4H|5Lcube|5M|6Lcube,0.0,,Engage,Engage,10,,0.0,0.0,0.0,0.0,3.0,
144,sarah,qm120,blue,2,7285,true,2M,0.0,1.0,None,None,,4M|6M|7Lcube|7M|7H|8Lcube|8M|9Lcone|9M,2.0,,None,None,,,0.0,1.0,0.0,0.0,0.0,tippy when extending in community fast
145,aarav and Agneya and Rachel,qm120,red,1,4909,true,8H,1.0,0.0,None,None, |  | ,8H|7H|4H,0.25, |  | ,Engage,Engage,, |  | ,0.0,0.0,0.0,0.0,3.0, |  | 
146,darren,qm120,red,3,6657,true,5H,0.0,1.0,Engage,Engage,,6Lcube|5Lcube|4Lcube,1.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
147,Eugene,qm120,red,1,8808,true,8H,0.0,1.0,None,None,,7Lcube|6M|5M|4M,0.0,Slightly slow cycles,Engage,Engage,5,,0.0,0.0,0.0,0.0,2.0,Served their purpose albeit a bit slow
